business_id,yelpPage
houlihans-brooklyn,https://www.yelp.com/biz/houlihans-brooklyn
pride-of-brooklyn-homebrew-event-gowanus,https://www.yelp.com/biz/pride-of-brooklyn-homebrew-event-gowanus
the-centurion-suite-brooklyn,https://www.yelp.com/biz/the-centurion-suite-brooklyn
metro-eats-brooklyn,https://www.yelp.com/biz/metro-eats-brooklyn
asian-time-brooklyn-2,https://www.yelp.com/biz/asian-time-brooklyn-2
tennis-at-fort-greene-park-brooklyn,https://www.yelp.com/biz/tennis-at-fort-greene-park-brooklyn
papa-johns-pizza-brooklyn-13,https://www.yelp.com/biz/papa-johns-pizza-brooklyn-13
fradei-italian-bistro-brooklyn,https://www.yelp.com/biz/fradei-italian-bistro-brooklyn
state-office-building-brooklyn,https://www.yelp.com/biz/state-office-building-brooklyn
no-1-chinese-restaurant-brooklyn,https://www.yelp.com/biz/no-1-chinese-restaurant-brooklyn
blue-cafe-brooklyn,https://www.yelp.com/biz/blue-cafe-brooklyn
fulton-deli-and-convenience-inc-brooklyn,https://www.yelp.com/biz/fulton-deli-and-convenience-inc-brooklyn
halal-cart-new-york-30,https://www.yelp.com/biz/halal-cart-new-york-30
cuyler-gore-park-brooklyn,https://www.yelp.com/biz/cuyler-gore-park-brooklyn
marinos-italian-ices-cart-brooklyn,https://www.yelp.com/biz/marinos-italian-ices-cart-brooklyn
sonia-restaurant-brooklyn,https://www.yelp.com/biz/sonia-restaurant-brooklyn
euphoria-baking-company-brooklyn,https://www.yelp.com/biz/euphoria-baking-company-brooklyn
baskin-robbins-brooklyn-28,https://www.yelp.com/biz/baskin-robbins-brooklyn-28
baris-of-brooklyn-pizzeria-brooklyn,https://www.yelp.com/biz/baris-of-brooklyn-pizzeria-brooklyn
samurai-sam-brooklyn,https://www.yelp.com/biz/samurai-sam-brooklyn
b-lunch-bar-brooklyn,https://www.yelp.com/biz/b-lunch-bar-brooklyn
halal-cart-brooklyn-4,https://www.yelp.com/biz/halal-cart-brooklyn-4
halal-truck-brooklyn,https://www.yelp.com/biz/halal-truck-brooklyn
